	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.00570308609421438	1.0057193796495	0.156029708520447	0.0365512833952838	0.970842787767248	0.740737088398777	1.36549321809853
BRCA	-0.133883476636565	0.874691980716978	0.18327953272213	-0.730487876349758	0.465092020941847	0.610727286000209	1.25274583053479
CESC	0.0602502045473201	1.0621022561173	0.244672333373915	0.246248538674147	0.805489843661955	0.657507730964172	1.715662264222
CHOL	-0.0386979137372018	0.96204128471107	0.906378422805961	-0.0426950959593687	0.965944588864345	0.16281072018147	5.68465904737064
COAD	-0.763847717181048	0.465870436311629	0.280040164115966	-2.72763630028704	0.00637898978050058	0.269088124388277	0.806558312161038
ESCA	-0.073343527148212	0.929281541748914	0.2801564192305	-0.261794919244268	0.7934795563544	0.536633443087903	1.60922543117348
GBM	-0.42577469416845	0.653263509619461	0.305311152309286	-1.39455991354398	0.163148590442976	0.359093112878894	1.18841937562935
HNSC	-0.198140291731736	0.820254770103258	0.175770732553456	-1.12726555128555	0.259630222682194	0.581209154096046	1.1576174998888
KICH	1.92485130629648	6.85412942423514	1.0171739041285	1.89235223051231	0.0584440661895046	0.933538651612444	50.3236690661086
KIRC	-0.531694946111641	0.587608160980859	0.178463534344926	-2.97929180918274	0.00288915488640169	0.414170710484679	0.833673995071362
KIRP	-1.4433064137609	0.236145671145479	0.309152897687568	-4.66858445952369	3.03282096435388e-06	0.12883342875739	0.43284401058487
LIHC	0.214265430568622	1.23895146674546	0.211065008987555	1.01516320301702	0.310028037865898	0.819210354141725	1.87375651344023
LUAD	-0.409976814864436	0.66366563713571	0.200763420849126	-2.04208920694041	0.0411426833039668	0.447774335381061	0.983647438256857
LUSC	0.0629013217351707	1.06492174941594	0.188637783853431	0.333450279420395	0.738794415100517	0.735781601970759	1.54129748466335
PAAD	-0.077901906860153	0.925055163658657	0.328344695871518	-0.237256480277166	0.812457821958073	0.486049073799543	1.76057748474275
PCPG	-0.00794347276832203	0.992087993239906	0.848527046175203	-0.00936148447374518	0.992530725170323	0.188054037643442	5.23380725383274
PRAD	0.272811295977504	1.31365232995538	0.885988001177035	0.307917596643604	0.758145035728207	0.231380143760437	7.45821320685116
READ	-1.34943330915242	0.259387211362805	0.474905986501933	-2.84147462341355	0.00449054256453278	0.102260485796652	0.65794451194339
SARC	0.448104919087384	1.56534292138892	0.234743128034722	1.90891602595115	0.0562729253063909	0.988088354620702	2.4798374053128
STAD	0.0194514942164291	1.01964190713146	0.204798575258763	0.09497865984591	0.924331777257173	0.682531678663607	1.52325474593992
THCA	0.289076521996551	1.33519389632215	0.983824489023697	0.293829362067839	0.768888297247288	0.194138386140232	9.18284516637623
THYM	-1.12454453644464	0.324800368404599	1.11269007264283	-1.01065387756508	0.312182119310756	0.0366853786658575	2.8756764452849
UCEC	-0.257556607582441	0.772937870930801	0.233300738508268	-1.10396824814729	0.269606911503671	0.489281322827121	1.22104181060296
