	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0333441061372764	0.967205680908709	0.0281635714181717	-1.18394452330581	0.23643502400149	0.915263120375661	1.02209605998122
BRCA	-0.0367817349811694	0.963886495095134	0.0407913909701252	-0.901703376776429	0.367214458745891	0.889824174813682	1.04411320991736
CESC	0.0211278111962255	1.02135258359111	0.0469586748755429	0.449923496611044	0.65276560459421	0.931546192943845	1.11981682487656
CHOL	-0.0938023987046165	0.910462653066496	0.131808381694627	-0.71165731267331	0.476677007396846	0.703180207255116	1.1788475188525
COAD	0.0699012141230531	1.07240223782594	0.0704206214268659	0.992624215843476	0.32089311915368	0.934147745369815	1.23111848783492
ESCA	0.0261752104460146	1.02652078988337	0.0545527239810981	0.479814911810526	0.631359008622125	0.9224278072849	1.14236032754087
GBM	0.00721733913907728	1.00724344690294	0.073890439611821	0.0976762241095484	0.922189395672639	0.871442615984911	1.16420673343163
HNSC	0.0319308997065529	1.03244616050751	0.0240934174150028	1.32529558412373	0.185073133053016	0.984824988061573	1.08237005282005
KICH	-0.173746462000457	0.840509971862948	0.187011064732714	-0.929070492426666	0.352852555350596	0.582584282170737	1.21262628330576
KIRC	-0.0502117632153278	0.951028010426066	0.0415296968622202	-1.209056819796	0.226641016831323	0.876684173107089	1.03167629159935
KIRP	-0.166881896534759	0.846299556345382	0.0717603457724429	-2.32554476624115	0.0200428490971545	0.73526111102104	0.974106923832527
LIHC	-0.178779652999844	0.836290153122913	0.0559415202042114	-3.19583115273269	0.00139428679641712	0.749444496782635	0.933199487370697
LUAD	0.0251899510270306	1.02550989868317	0.0452893317060268	0.556200546091929	0.578073765958223	0.938403259671503	1.1207021517224
LUSC	-0.00509847445919042	0.994914500701175	0.0392606463420463	-0.12986221405454	0.896675439889302	0.921227805677463	1.07449520911664
PAAD	-0.112206840982796	0.893859351631187	0.0520117729589084	-2.15733543771801	0.0309795377203794	0.80722887179081	0.989786872620161
PCPG	-0.0359440416056762	0.964694274715384	0.122181622990602	-0.294185334307116	0.768616286594446	0.759256493753601	1.22571891228454
PRAD	0.223470412034815	1.25040864268174	0.241779380023932	0.924274071728926	0.355343638721386	0.778482735156831	2.00842189952768
READ	0.00465219577639712	1.00466303403989	0.149934022964861	0.0310282862048423	0.975246981399559	0.748852615926179	1.34785909870647
SARC	0.000251548184171403	1.00025157982507	0.0302799782953547	0.00830740965920686	0.993371722332357	0.942616161736762	1.06141106375593
STAD	0.0115940509829217	1.01166152249594	0.0347840516253027	0.333315138437982	0.738896413301842	0.944989523834696	1.08303744145828
THCA	-0.165683425997086	0.847314429455995	0.119752623272449	-1.38354736179883	0.166497095618318	0.670055821319595	1.07146556976468
THYM	-0.0655037982227562	0.936595489354571	0.0743443145387051	-0.881086854175697	0.378270811865499	0.809599193051842	1.08351282734438
UCEC	0.0609885418728012	1.06288673542601	0.0546209672855978	1.11657747754464	0.2641750260017	0.954978371112409	1.18298827127215
