	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0036437224414672	1.00365036886821	0.102178263849878	0.0356604458147834	0.971553110144503	0.821501106395048	1.22618710442112
BRCA	-0.050075224012501	0.951157871897865	0.118910898119639	-0.421115514257736	0.6736707332969	0.753417088833617	1.20079742108566
CESC	-0.20245775135071	0.816720987227776	0.16880889819526	-1.19933103950793	0.230399250329535	0.586655735722217	1.1370095447156
CHOL	0.336235106469166	1.39966805714552	0.355995116360232	0.94449359279673	0.344917474479427	0.696628854313765	2.81221579907619
COAD	-0.027487452931802	0.972886889355024	0.141788113054761	-0.193862886948682	0.846283244270332	0.736838127502641	1.28455472667639
ESCA	-0.0878035422841226	0.9159408026868	0.132790995802829	-0.661216084368365	0.508473747717453	0.706050078327779	1.18822669917907
GBM	0.35626370657276	1.42798406740075	0.239424681875352	1.4879990808894	0.136751136021305	0.893150618215738	2.2830846837726
HNSC	-0.088271297752818	0.915512466553436	0.110653840874639	-0.797724661476699	0.425030289280683	0.737013668657477	1.1372422413027
KICH	0.840892274171468	2.31843473357192	0.551946048615303	1.52350447345544	0.127632542366624	0.785918562066168	6.83930864249028
KIRC	-0.0610429784497495	0.940782805520583	0.148679889674406	-0.410566476632633	0.681390449337493	0.702963571297233	1.25905853916425
KIRP	-0.397705237676071	0.671860037503665	0.317821209906627	-1.25134895116948	0.210807193306035	0.360370228813461	1.25258934812865
LIHC	-0.0639852454309185	0.938018839492395	0.113602467943534	-0.563238163652592	0.573272718808509	0.750780466776594	1.17195289725682
LUAD	-0.0794977735944093	0.923580076230163	0.105221538613128	-0.755527572037337	0.449932495155814	0.751466837123223	1.13511350743671
LUSC	-0.0797467763487746	0.923350130877006	0.112980136227104	-0.705847762375446	0.480282815957412	0.73994177795211	1.15221966051194
PAAD	-0.339450785674444	0.712161344587942	0.184599350626167	-1.83885146141097	0.0659370366950977	0.495960563509716	1.02260909040073
PCPG	-1.20427130800945	0.299910462259283	0.758314185426303	-1.58809017575274	0.112265949509796	0.0678443071007477	1.32577498711878
PRAD	-0.626810572029474	0.534293175958067	0.493944142332406	-1.26899079938406	0.20444434556843	0.202924091904414	1.40677824498939
READ	-0.0438405685530355	0.957106538189924	0.253824089215488	-0.172720283124178	0.86287129977757	0.581975666754994	1.57403990883961
SARC	0.103315897681689	1.10884163425706	0.147725556923614	0.699377276574502	0.484316284872401	0.830090229810739	1.4812001463289
STAD	0.0108312096851659	1.0108900795889	0.0860311444654223	0.125898705084868	0.899812107713284	0.85403189764748	1.19655806279154
THCA	-0.306921359013464	0.735708455471095	0.638145127818576	-0.480958555717001	0.63054595444052	0.210627770037722	2.5697795279071
THYM	0.382170681259751	1.46546219072101	0.497388295189912	0.768354794343986	0.442276429393661	0.552836786130423	3.88465363794764
UCEC	-0.110125404050307	0.895721801111287	0.140790482442013	-0.782193527148853	0.434100847962129	0.679723161598206	1.18035928494711
