,idx,beta,pval,cilb,ciub,i2,tau2,symbol
ENSG00000106367.12,25330,0.691616881380473,3.61287791868849e-12,0.49661811385755,0.886615648903396,96.4780187201192,0.203161415094026,AP1S1
ENSG00000163820.13,45644,-0.762547215918731,3.02265195761955e-06,-1.08263228732556,-0.442462144511902,98.4927193880328,0.572129397930142,FYCO1
ENSG00000117407.15,22593,1.22092487438048,2.60753818374039e-05,0.651886389335459,1.78996335942549,98.4947245951507,1.82858934367686,ARTN
ENSG00000173258.11,41459,-0.994589266702689,0.000352326943384846,-1.540103153785,-0.449075379620382,98.700569920311,1.68008617108062,ZNF483
ENSG00000172014.12,50911,-0.974349479094273,0.00184205484353276,-1.58749423778094,-0.361204720407606,78.6006629404099,1.45917029036202,ANKRD20A4
ENSG00000189339.10,20470,-0.13383062819781,0.0689734759623336,-0.278064739180353,0.0104034827847332,90.260476214517,0.095698093183637,SLC35E2B
ENSG00000213462.4,4482,0.229350824644224,0.0730527434500691,-0.0214269139517604,0.480128563240208,95.1239253152603,0.331293896788501,ERV3-1
ENSG00000154328.14,37222,-0.105755239106147,0.173379762266164,-0.258004995632718,0.0464945174204238,96.4816518595387,0.119773321099485,NEIL2
ENSG00000186300.10,36137,-0.124971409154932,0.202663253655877,-0.317231513453913,0.0672886951440485,97.1141218150376,0.199120112433945,ZNF555
ENSG00000186470.12,6416,0.200901016516405,0.281587983865702,-0.164787858573255,0.566589891606066,97.9729993159424,0.763471584887237,BTN3A2
ENSG00000009950.14,45149,-0.487697701378567,0.33801133940802,-1.48536804801915,0.509972645262013,99.1035604429173,5.39751482805584,MLXIPL
ENSG00000145416.12,48352,0.186382475878019,0.354854781256331,-0.20844842350039,0.581213375256427,97.8089382735261,0.886313083111956,MARCH1
ENSG00000186716.18,20646,0.0953297639496691,0.375526728265922,-0.115513773482465,0.306173301381804,98.0263420627951,0.244757682656449,BCR
ENSG00000185100.9,19824,-0.170319775349327,0.41881156781924,-0.58321638931831,0.242576838619656,98.3342693740967,0.945929928488672,ADSSL1
ENSG00000139433.8,9635,-0.104058041431688,0.534014735413359,-0.432010380260731,0.223894297397356,99.2169669446502,0.600548675627634,GLTP
ENSG00000179344.15,17596,0.135592764998579,0.563739985806771,-0.324755577299895,0.595941107297053,96.0964038204721,1.13787624048543,HLA-DQB1
ENSG00000196683.9,24573,-0.0543124191121692,0.57491999663396,-0.244124327634104,0.135499489409765,96.6067647218514,0.191670345760548,TOMM7
ENSG00000130770.16,17664,-0.0407718518832168,0.756479015097497,-0.298460864719051,0.216917160952618,98.0355856002483,0.36722126396328,ATPIF1
ENSG00000113812.12,21532,-0.0167709744263258,0.776173588994878,-0.132386399081654,0.0988444502290024,97.4084676246439,0.073625705567801,ACTR8
