	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0205595303689992	1.02077233338816	0.124696518595544	0.164876538660109	0.869041159089382	0.799442111605877	1.30337912086923
BRCA	0.0753708949119085	1.0782840067795	0.0929139227459057	0.811190537267783	0.417256258957369	0.898761973779522	1.29366443307232
CESC	0.236295286949427	1.26654825012345	0.180714408264083	1.30756196597298	0.191021924379156	0.8887863089601	1.80487081508676
CHOL	0.950791076112076	2.58775596174386	0.65469712509169	1.45226096109543	0.146429057958198	0.717206331040377	9.33689599173926
COAD	-0.348322972149403	0.705870862765621	0.194549910499456	-1.79040417574686	0.0733889595163511	0.482085502336481	1.03353797715683
ESCA	-0.223054145231513	0.800071528063632	0.216442744477135	-1.03054572593944	0.30275389879606	0.523470747401674	1.22282754708908
GBM	-0.0208304675189102	0.979384988062843	0.218797432777961	-0.0952043506838095	0.924152514340413	0.637841438403765	1.50381410973125
HNSC	0.116952658893412	1.12406621389246	0.0833885272667933	1.4025029908399	0.160765098017443	0.954578066538564	1.32364748102399
KICH	1.51548960847115	4.55164910734274	0.670110566281323	2.26155157779579	0.0237251226002217	1.22396676739445	16.9265295008596
KIRC	0.23206452559777	1.26120110595812	0.153763001566818	1.50923514260955	0.131238702429183	0.933041667317259	1.70477727349889
KIRP	0.185168876320026	1.20342165238844	0.27477084048234	0.673902936697996	0.500373024959758	0.702315830575234	2.06206895870644
LIHC	0.211243240175268	1.23521277189432	0.116480850302472	1.81354479836576	0.069747835663331	0.983089582442454	1.55199548352468
LUAD	-0.0742497688686222	0.928439769527937	0.128759469673717	-0.576654820470876	0.564172658300658	0.721362357186803	1.19496172354037
LUSC	0.127051940396401	1.13547599332306	0.105598597014547	1.2031593599572	0.228914658184161	0.923192500561339	1.39657301226889
PAAD	0.223457952160231	1.25039306284393	0.208110997043129	1.07374408529657	0.282937396719495	0.831576396339673	1.88014332596521
PCPG	-0.101380456736098	0.903589190887171	0.673979265119349	-0.150420735448212	0.880432682867398	0.24114531926855	3.38581494496632
PRAD	-0.467983419226226	0.626263907511643	0.331231304210724	-1.41285987549203	0.157696928890755	0.327199616594486	1.19867647136589
READ	-0.223851782985474	0.799433615252471	0.38259479089186	-0.585088423351653	0.558488262557556	0.377674036078775	1.69218438161933
SARC	-0.350027736204648	0.704668544616698	0.146358672468756	-2.39157495965516	0.0167762578263811	0.528937255886571	0.938783858096585
STAD	-0.06289851813588	0.939038764258197	0.151931443818814	-0.413992762491546	0.6788794072695	0.697202990434105	1.26475906282405
THCA	0.252308908040708	1.28699353853841	0.639726069343388	0.394401479213872	0.69328465186204	0.367316594369145	4.50933171446921
THYM	0.379728970706842	1.46188832117813	0.799792618097309	0.474784290470459	0.634940731307923	0.304880386146512	7.00969154037353
UCEC	-0.125347836998951	0.882189990891133	0.156835474588417	-0.79923140684785	0.424156243943222	0.648729321949789	1.19966703168187
