	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.030187231670535	1.0306474857401	0.037789948438265	0.798816429184866	0.424396862692728	0.957069079981031	1.10988251744946
BRCA	0.0944828139594804	1.09909027396069	0.0832896078816333	1.13438898756438	0.256631416373003	0.933549008379803	1.29398608907689
CESC	-0.0915042006142336	0.912557482842009	0.0780960753189957	-1.17168756868345	0.241322515825418	0.783041411943324	1.06349568080215
CHOL	-0.210114132248017	0.810491737447191	0.17295653651114	-1.21483776494613	0.224427974099086	0.577467731290471	1.13754729636961
COAD	0.0126014263491542	1.01268115888473	0.0691226014955228	0.182305441006447	0.855343028933029	0.884372979250315	1.1596047749327
ESCA	0.0569807976061602	1.05863548186487	0.0882786922225443	0.645464904062191	0.518625954758456	0.890437592830219	1.25860486179737
GBM	0.0870877606993712	1.09099242177497	0.0897806373852581	0.970006041789039	0.332043480574086	0.914956226186083	1.30089771543707
HNSC	-0.0233042395027767	0.976965207145071	0.0520592928058344	-0.447648022989758	0.654407239045006	0.882198158716833	1.0819122739502
KICH	0.105511708496216	1.111279115854	0.227639365844714	0.463503788567886	0.643003299881501	0.711305510618724	1.73616154366504
KIRC	-0.0435742136558149	0.957361502157476	0.0729033037742519	-0.597698751633318	0.550040958582188	0.829890044554751	1.10441262891033
KIRP	-0.182734198727035	0.832989535993244	0.102254353248115	-1.78705544480478	0.0739285277421128	0.681711283767406	1.01783787887393
LIHC	-0.0275495395727122	0.972826487951158	0.0788018068231971	-0.34960543017146	0.726634835127506	0.833602805168896	1.1353025323225
LUAD	-0.0581475991239067	0.94351067580972	0.0591918253319121	-0.982358607761291	0.325923210685403	0.840161246915104	1.05957326481742
LUSC	0.0690560454206759	1.07149625992419	0.0523115031237388	1.32009292979652	0.186803993039261	0.96708139276903	1.18718470194548
PAAD	0.0695987921626105	1.07207796887429	0.0785220126352973	0.886360267990946	0.37542342221359	0.919154066748726	1.2504445260316
PCPG	-0.404201903014528	0.667509335515496	0.334904510379933	-1.20691686879935	0.227464160568721	0.346247070689391	1.28685193527614
PRAD	-0.0842423101539458	0.919208495555578	0.351158108995282	-0.239898518633034	0.81040892929025	0.461857186109202	1.82944919709828
READ	-0.0494129495997542	0.951788008057401	0.149310738412999	-0.330940360518987	0.740689534778133	0.710307986362654	1.27536284213952
SARC	-0.0694130696762409	0.932941230742832	0.0554338053582933	-1.25217940979504	0.210504497006534	0.836891093957448	1.0400150584757
STAD	0.0819437348069312	1.08539473816696	0.064886534304761	1.26287735483075	0.206633259311314	0.955776160089561	1.23259167452988
THCA	-0.351676508024597	0.703507664254327	0.202662507403635	-1.73528154037972	0.0826909497617127	0.472892247236914	1.04658732841655
THYM	1.09379054801818	2.98556959584128	0.386243695742211	2.83186640992634	0.0046277178447752	1.40041247063072	6.36500031137063
UCEC	-0.0997968024946205	0.905021297423362	0.0787171936591453	-1.26778913037414	0.204873264891674	0.775630007445467	1.05599775785809
