	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0164173322437197	0.983716697681639	0.0543791636455004	-0.301904831614271	0.7627246124313	0.884264958451662	1.09435360074892
BRCA	0.104267310362473	1.10989710226207	0.0820934983943372	1.27010436151257	0.204047458241047	0.944940808597096	1.30364946291043
CESC	0.0152553185597045	1.01537227491051	0.086854454539794	0.175642327621953	0.860574946620785	0.856435488265407	1.20380445554054
CHOL	0.0101359887248165	1.01018753185821	0.131128289622035	0.0772982607645727	0.938386274478168	0.781241673202826	1.30622684954601
COAD	0.00893596478874715	1.00897600971324	0.086054847964515	0.103840341364985	0.917296051721456	0.85237523033268	1.19434792559552
ESCA	0.0632882209342755	1.06533384650277	0.103000300781704	0.614446952620139	0.538920017103386	0.870586062562362	1.30364619112323
GBM	-0.0679393204056207	0.934317165843809	0.0746340616055888	-0.91029911737422	0.362664783903621	0.80717127772794	1.08149111654173
HNSC	-0.0730481133998417	0.929556104845313	0.0579608754817741	-1.26030038008677	0.207561022936273	0.82973463858675	1.04138662154316
KICH	0.0479175683703463	1.04908417404201	0.289530614018461	0.16550086951182	0.868549765498954	0.5947869483686	1.85037282214095
KIRC	0.220090908782041	1.24619001505449	0.0415285453849058	5.29975000911148	1.15961347569029e-07	1.14877534263449	1.35186532647892
KIRP	0.074559538755197	1.07740948923248	0.0959950641640415	0.776701796123451	0.437334726933248	0.892626240225576	1.30044486166445
LIHC	0.0595485043865296	1.06135724021287	0.0558357710977721	1.06649381240309	0.286200474294854	0.951336352488962	1.18410190928276
LUAD	0.0733390417482472	1.07609531631081	0.0453274265235146	1.61798379862137	0.105666089251559	0.984618441640427	1.17607093348445
LUSC	-0.0547155339953195	0.946754429100862	0.055223633161449	-0.990799244145273	0.321783618461488	0.849632083546973	1.05497893309315
PAAD	0.0750648357966341	1.07795403862782	0.0888288595834915	0.845050090123915	0.398082872781563	0.905709622050736	1.28295524426806
PCPG	-0.165852395680889	0.84717127109982	0.455547572625757	-0.364072614249535	0.715803786194567	0.346903293392102	2.0688738799769
PRAD	0.775023755283377	2.17064369082697	0.522940099296251	1.48205072880502	0.138326797484725	0.778863085413351	6.04945095071028
READ	0.067236691663151	1.06954860145463	0.206563370675394	0.325501522575416	0.744801530464414	0.713466299821663	1.60334722349114
SARC	-0.178777748580551	0.836291745771532	0.0861428864146251	-2.0753628769769	0.0379529160353502	0.706370986074027	0.990108452688204
STAD	0.00650104844503208	1.00652222612798	0.0519804860195776	0.125067096190358	0.900470432160978	0.909028500098735	1.11447219925403
THCA	-0.0703198748234715	0.932095618293537	0.260051963022666	-0.270407014067963	0.786847144588113	0.559891448248145	1.55173336610235
THYM	0.476819990587422	1.6109434329716	0.232575136163982	2.05017612136849	0.040347247279564	1.0212027507298	2.54125710333202
UCEC	0.226844239458126	1.25463443018123	0.0785807950903235	2.88676437031953	0.00389225601061571	1.07554629210681	1.4635423551252
