	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.106997550529974	0.898527873904705	0.075368243336264	-1.41966358500081	0.15570564436175	0.775136145807911	1.04156198178866
BRCA	0.121009012100777	1.12863508369463	0.118791764589338	1.01866499347917	0.308362037236582	0.894206480315894	1.42452238961227
CESC	0.134113037645795	1.14352207338233	0.20364735835891	0.658555253191318	0.510181405099818	0.767184123058885	1.70447053452937
CHOL	0.0348060098389638	1.0354188282506	0.208481307295431	0.166950266623384	0.867409181082176	0.688107747267789	1.55802947162374
COAD	0.177682283270062	1.19444576553968	0.17426729165803	1.01959628556536	0.307919967351584	0.848847839392996	1.68074962390892
ESCA	-0.233894222661268	0.791445528469812	0.183425388619766	-1.27514639288088	0.202257431285959	0.552445010966283	1.13384320991377
GBM	0.0186102052463802	1.01878445437494	0.132582508260818	0.140366972163251	0.888370051858854	0.785647754946416	1.32110320171007
HNSC	0.198100565442343	1.21908498547812	0.097821858874509	2.02511552859036	0.0428555027360339	1.00639359748825	1.47672660629733
KICH	-1.00658416850209	0.365465217491703	0.336781431621353	-2.98883511378918	0.00280043213351064	0.188876173530758	0.707155501403181
KIRC	-0.400648054253824	0.669885783006582	0.0969775786719812	-4.13134726336058	3.60643282667481e-05	0.553927971650521	0.81011789481803
KIRP	-0.540444267544994	0.582489413739617	0.202561308924451	-2.66805280048108	0.00762922673922932	0.391622412155082	0.866380234092331
LIHC	0.0315600150216475	1.03206331303911	0.0475483318551258	0.663745998867156	0.50685289328169	0.940227884350562	1.13286863732721
LUAD	-0.0190519321969771	0.981128408765971	0.0988788741923162	-0.192679501588193	0.847209977988712	0.808276590189956	1.1909449885978
LUSC	-0.0252921839159306	0.975024983786742	0.0932503602680544	-0.271228806443499	0.786215058734234	0.812158686177519	1.17055168551204
PAAD	0.174665667042757	1.19084801031241	0.148527966237286	1.17597831214974	0.239603542736298	0.890080120317328	1.59324868772424
PCPG	0.0154010440176889	1.01552025128199	0.536419647034568	0.0287108127057405	0.9770952326316	0.354884766088284	2.90596125646962
PRAD	-0.565174702213112	0.568260861654974	0.551587974164937	-1.02463202369258	0.305536848344888	0.192768119478226	1.67517537527946
READ	-0.296654028226924	0.743301129091371	0.393145821546754	-0.754564876360119	0.450510104968942	0.343968333669936	1.60624253579886
SARC	-0.0431129725139493	0.957803178521734	0.0764022941838139	-0.564288978158498	0.572557481207657	0.824598467283496	1.112525629363
STAD	-0.0626412254531637	0.939280403145653	0.0964133994455138	-0.649714933955464	0.515876375576052	0.777549465295646	1.13465151107525
THCA	-0.640228990680329	0.527171692815825	0.495471675481158	-1.2921606266566	0.196301523879237	0.199620816395684	1.39218944559086
THYM	0.288119330361395	1.33391647136105	0.395441601097243	0.728601466213828	0.466245481365498	0.614508839153238	2.89553711712293
UCEC	0.0120683126050568	1.01214142852216	0.139860307282074	0.086288331833256	0.931237213728256	0.76947035417439	1.33134469154443
