	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.244851993828754	0.782820391917108	0.10928913364078	-2.24040566222761	0.0250645990271074	0.631880642378996	0.969815697619835
BRCA	-0.0886538722509031	0.915162281821199	0.124044568644258	-0.714693704205216	0.474798328867115	0.71764751312695	1.16703811655239
CESC	-0.31746882040752	0.727989378832613	0.192098152777098	-1.65263859031428	0.0984044392842392	0.499586620583107	1.06081410882166
CHOL	0.239814094665326	1.27101284028899	0.302115276190363	0.793783411714075	0.427321531302715	0.703054429297961	2.297793133588
COAD	-0.0237509889140529	0.976528845993243	0.152928083992561	-0.155308222623179	0.876578333555483	0.723623155351091	1.31782486506284
ESCA	0.329533939985951	1.39032000488226	0.175779468454473	1.87470096981946	0.0608338734097789	0.98512426598552	1.96217856235837
GBM	0.0595394920780795	1.06134767497715	0.175114012042648	0.340004157197762	0.733853397251263	0.753009327068484	1.49594280799253
HNSC	0.0940400871326321	1.09860378491011	0.0967922904846525	0.971565882590032	0.331266562431891	0.908764480079686	1.32810018731474
KICH	-0.139021530957812	0.870209291816993	0.671687705406662	-0.20697346376713	0.836030582613203	0.233282469923074	3.24612565965348
KIRC	0.62048613724852	1.8598319557051	0.113247783297999	5.47901353279276	4.27703653525597e-08	1.48962522378133	2.32204372498569
KIRP	0.376045428815069	1.4565132999415	0.219840082306251	1.71054079342644	0.0871659166946076	0.94664302077313	2.24100420787329
LIHC	0.111039318144228	1.11743884161228	0.11442309253069	0.97042752200082	0.331833435704165	0.892948989626762	1.39836606485854
LUAD	0.183681230209491	1.20163271782862	0.101844026715134	1.80355427936154	0.0713012090082206	0.984196807612281	1.46710614928658
LUSC	-0.117435707070002	0.889197679032835	0.113756067021071	-1.03234675868541	0.301909703798466	0.711490295204768	1.11129064967755
PAAD	0.126758261797124	1.13514257728481	0.187294983467188	0.676784073180107	0.498542964759638	0.786365831556619	1.63861223244415
PCPG	-0.641432065778937	0.526537847037995	0.813790322869571	-0.788203112955598	0.430577908561154	0.106839049253218	2.59495106238093
PRAD	0.203380587733415	1.22553880453676	0.493048312760038	0.412496265517894	0.679975717364416	0.466276558407484	3.22114705177359
READ	0.455321669426673	1.57668047137548	0.291144424917099	1.56390310257983	0.117840325795381	0.891089045465818	2.78975633407916
SARC	0.107009216292457	1.11294451165417	0.0943724500257677	1.13390312811884	0.256835184840347	0.925003842993427	1.33907063781781
STAD	-0.0603735812281903	0.941412773742654	0.102573071568085	-0.588590945998105	0.556135708974038	0.769962776673578	1.15104007286519
THCA	-0.429136790094583	0.651070863044553	0.520737711910086	-0.824093934968704	0.409886186046506	0.234625664751124	1.80667903127826
THYM	-0.364896659428132	0.694268393263755	0.423878364010051	-0.860852287849918	0.389319402530412	0.3024972819885	1.59343118297294
UCEC	-0.172361356328474	0.841674973631356	0.152396873675735	-1.13100322973304	0.258053732055711	0.624344025206103	1.13465770895059
