	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.228096163745087	0.796047705226021	0.0794900838649228	-2.869492050514	0.00411131666972774	0.681203722730842	0.930253208915594
BRCA	0.0273579442068581	1.02773560893992	0.0979700600184465	0.27924800905202	0.780054502496048	0.848182168435683	1.24529908926422
CESC	0.127669382827423	1.13617730086699	0.153273701257491	0.832950348167989	0.404872732516579	0.841355033766062	1.53430930724582
CHOL	-0.293010882945178	0.746014021823341	0.32176161070382	-0.910645873211065	0.362481991800923	0.397066283397531	1.40162220774572
COAD	-0.088429034097232	0.915368068352418	0.133594904518682	-0.661919213280067	0.508022997651918	0.704497683728619	1.18935621778709
ESCA	0.19584830777027	1.21634238165128	0.147032726238584	1.33200487252393	0.182858587392882	0.911803711942351	1.62259570785192
GBM	-0.357558573642108	0.69938173240767	0.14180948935727	-2.52140089681367	0.0116888596091624	0.52967055213823	0.923469892088513
HNSC	-0.11038695554354	0.895487554371812	0.0841749323740936	-1.31139939682938	0.189722862525008	0.759293569792741	1.05611056373584
KICH	0.118065203334066	1.12531748342707	0.567612935298275	0.208003017535222	0.835226611232362	0.369932135768155	3.42316688945421
KIRC	-0.221730846972738	0.80113096214265	0.120641283730827	-1.83793507591863	0.0660719727427087	0.632431466169212	1.01483062250398
KIRP	-0.402141027113953	0.66888640791874	0.217479900900117	-1.84909513683586	0.0644440764941844	0.436750231358961	1.02440478464387
LIHC	0.202132915148716	1.22401068686236	0.0852961073206897	2.36977889728019	0.0177987255539429	1.03557374568091	1.44673633123845
LUAD	-0.239815703974666	0.786772846814503	0.107241143965749	-2.23622851366878	0.0253368063518968	0.637625292625716	0.970807650894044
LUSC	-0.103757237685326	0.901444107518798	0.101203780717213	-1.02523084562669	0.305254277101661	0.739254522197694	1.09921746107771
PAAD	-0.298933849024738	0.741608465935709	0.181196225754071	-1.64977966721264	0.0989880088912831	0.519924367220904	1.05781369641758
PCPG	1.5114814988695	4.5334421110451	0.603219317438635	2.50569147103493	0.0122212208583456	1.38984657299619	14.7873137751396
PRAD	1.03112245103135	2.80421165912076	0.425048996079175	2.42589080445511	0.0152708642437611	1.21901325858914	6.45079368394232
READ	-0.220645873111607	0.802000639999476	0.343062632067241	-0.643164986469176	0.520117050038626	0.40941077937781	1.57105054130979
SARC	0.127034470724337	1.13545615710309	0.108811246626533	1.16747555664306	0.243018373908303	0.917381691669872	1.40536997458117
STAD	-0.00467291935184085	0.995337981749195	0.135461312640346	-0.0344963389233322	0.972481361728392	0.763248041458523	1.29800227986094
THCA	-0.295037210896602	0.744503883293443	0.481478374738335	-0.612773545762971	0.540026085108073	0.289755595718682	1.91294332336954
THYM	-0.207263802338436	0.812805201789921	0.495764721735925	-0.418068880764046	0.675896756621474	0.307603149718402	2.14774229932806
UCEC	0.00749506043528786	1.0075232187061	0.113532054586893	0.0660171302506594	0.947364187237768	0.806522343400822	1.25861737686222
