	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.108084569288403	0.897551687913164	0.130998263745968	-0.82508398354043	0.40932391210997	0.69431019722783	1.1602869087798
BRCA	0.0852065961878039	1.08894201472988	0.149143728199963	0.571305258465606	0.567792737827431	0.812930434428342	1.45866689353047
CESC	0.312334683954537	1.36661199960697	0.21816160570173	1.43166659848278	0.152239259894901	0.891139582055776	2.09577533652059
CHOL	-0.0805435501932481	0.922614722659354	0.443986307832846	-0.181409986687183	0.856045780689899	0.38645466148645	2.20263335210835
COAD	-0.111065865678026	0.894879805122749	0.178225129304834	-0.623177360629437	0.533167977242771	0.631043361402804	1.26902510128042
ESCA	-0.0878334765652224	0.915913385067707	0.274290511361244	-0.320220616197491	0.748801095911108	0.535029710419142	1.56794531707219
GBM	-0.557485372833282	0.572647249170739	0.27173100652102	-2.05160750688993	0.0402078220519599	0.336193511036272	0.97540512002159
HNSC	-0.109190755975389	0.89655937712679	0.132075791842151	-0.826728005582483	0.408391244163522	0.692079426884917	1.16145443064534
KICH	-2.92703892371571	0.0535553851716139	1.09499758339973	-2.6731008068784	0.00751536628676241	0.00626238140336078	0.458001372982597
KIRC	0.134453144453511	1.14391105916887	0.182046914690823	0.738563159292525	0.460172301839325	0.800633290109679	1.63437184970111
KIRP	0.595703017350723	1.81430598530709	0.292374207527461	2.03746774514907	0.0416031910532403	1.0229187909557	3.21795457999725
LIHC	-0.377040437335722	0.685888337838253	0.154703225661109	-2.43718536394103	0.0148020894554322	0.506488739297946	0.928831730068887
LUAD	-0.0711010511975854	0.931367771543466	0.145865201389047	-0.487443547333451	0.625944039530108	0.699778381084162	1.23960092126012
LUSC	0.0404317671016832	1.04126025907317	0.14289923513736	0.282939002877228	0.777223595662723	0.78690670146986	1.37782906804569
PAAD	-0.198997776964141	0.819551715223752	0.252984932099212	-0.786599325552326	0.431516454218979	0.49915473929691	1.3456048015737
PCPG	1.91941154812626	6.81694584423297	1.31659102755743	1.45786467319863	0.144877847662936	0.516304047209807	90.0065589149279
PRAD	-0.331049930281534	0.718169309749521	0.931099881571641	-0.355547172579102	0.722179711726233	0.1157905684361	4.45431060950992
READ	0.467077644366019	1.59532526662722	0.495265931824111	0.943084541764721	0.345637661886974	0.604335516259673	4.21134061769362
SARC	-0.0868714993147282	0.91679489683672	0.175893362955635	-0.493887306803268	0.621385769411813	0.649458619753372	1.29417465147361
STAD	0.176924347037174	1.19354079481413	0.172156416754078	1.02769533876804	0.304093161132201	0.851721205317226	1.6725421651971
THCA	-0.0560724564690047	0.945470627945256	0.729793514934205	-0.0768333169883813	0.938756145944634	0.226176081385834	3.95229549840094
THYM	-1.29633311113364	0.273532971314536	0.64214097067847	-2.01876717158223	0.0435114246453395	0.0776995132069457	0.962944081732941
UCEC	-0.285939059355328	0.751308399770053	0.163131588846367	-1.75281232394922	0.0796342270361623	0.545708079996853	1.03437044869904
