	TE.fixed	lower.fixed	upper.fixed	pval.fixed	TE.random	lower.random	upper.random	pval.random	symbol
ENSG00000110218.7	1.20194031609126	1.12928883263882	1.279265748223	7.37630647070118e-09	1.21832279257338	1.0845086578203	1.36864783531285	0.000879110134300283	PANX1
ENSG00000186716.18	0.880543610498229	0.820365773692023	0.945135785589631	0.000427869655525083	0.849888556818317	0.764313361833576	0.945045049687357	0.00266606991464399	BCR
ENSG00000179344.15	0.956771857509096	0.931982081772753	0.982221016073797	0.000969231823790578	0.956740884398079	0.928011523472774	0.986359648265373	0.00447084958876785	HLA-DQB1
ENSG00000189339.10	0.895970054709994	0.847046883288047	0.947718898180565	0.000125930453242548	0.89225226847921	0.821017985254947	0.969667077827879	0.00724100626159516	SLC35E2B
ENSG00000113812.12	0.841542170077455	0.758302538922888	0.933919099129759	0.00116847760522904	0.815960721073486	0.679482282645515	0.979851742038881	0.0294121886949844	ACTR8
ENSG00000123415.13	1.1062278827414	1.02285528467879	1.19639615386922	0.0115630009481312	1.10350255140765	1.00051326425592	1.21709319053237	0.0488121372755657	SMUG1
ENSG00000186470.12	0.946566425281384	0.90636273243321	0.988553440480304	0.0131434503667582	0.947752297487924	0.89447759214651	1.00420002164404	0.0690682636816247	BTN3A2
ENSG00000134250.16	1.0629802433421	1.00976446861315	1.11900055196785	0.0197646726168265	1.07138410521243	0.993203525131031	1.15571871409781	0.0744952015581642	NOTCH2
ENSG00000099974.7	0.922313167151715	0.879522661145634	0.967185515371926	0.000848334636101339	0.931657136493712	0.857835307722911	1.01183177256214	0.0928205563019028	DDTL
ENSG00000146530.10	1.01222163895362	0.999972991942244	1.02462031937071	0.0505104135168929	1.01300944800305	0.997649590086399	1.02860578698235	0.0972978554474122	VWDE
ENSG00000143622.9	1.04159443595123	0.975420157000191	1.11225809843946	0.223660396700104	1.10289444883273	0.972432810342385	1.25085882780711	0.127320091788031	RIT1
ENSG00000196418.11	0.941074136461249	0.891189291543809	0.993751314922247	0.0288498017840483	0.942294718035004	0.85825425101102	1.03456444822814	0.212386221905096	ZNF124
ENSG00000151553.13	0.939487123264417	0.86447521854516	1.02100793156923	0.141488954920849	0.941380676035665	0.836501667351309	1.05940921793906	0.316173750649984	FAM160B1
ENSG00000145416.12	0.978155769645171	0.937550175890106	1.02052000446991	0.307260906766829	0.97802269906125	0.934034455569989	1.02408256373726	0.343920241251682	MARCH1
ENSG00000182253.13	0.992886919937582	0.967206418191724	1.01924927010536	0.593399280501621	0.98228189825963	0.942604966413519	1.02362894534682	0.395435947162252	SYNM
ENSG00000175643.8	1.05031798399154	1.00563552467631	1.09698577707977	0.0268752627039644	1.03987582654219	0.947232806187373	1.14157969145857	0.411473783363526	RMI2
ENSG00000173039.17	1.08439755828982	0.965629611617514	1.21777340947029	0.170994112873335	1.081394366102	0.88847873256961	1.31619782462887	0.43508258178801	RELA
ENSG00000007908.14	0.987583588897304	0.968954885567989	1.00657043953864	0.198467765896601	0.988863053520121	0.96123608721323	1.01728404876275	0.438543558616448	SELE
ENSG00000186529.13	1.00439284892341	0.990017962166612	1.01897645650868	0.551203998018293	1.00745017146395	0.988498209211326	1.02676548983586	0.443650191461997	CYP4F3
ENSG00000163945.14	0.95148184891717	0.901484505093536	1.00425210162087	0.0709347412819875	0.959175658260045	0.861971835789056	1.0673410721783	0.444539836480742	UVSSA
ENSG00000204267.12	1.01190122703379	0.963003838018961	1.06328142510719	0.639658054945913	1.03609469928868	0.946035662473124	1.13472701767687	0.444708422823324	TAP2
ENSG00000175137.10	0.963771072202744	0.87929327706036	1.05636504207124	0.430453331555062	0.954854038693394	0.845691657727714	1.07810716456498	0.455782327728647	SH3BP5L
ENSG00000275152.3	0.99788395849792	0.987611255598506	1.00826351358666	0.688258264065726	0.99637737193097	0.981611330124418	1.01136553422854	0.633781957732934	CCL16
ENSG00000196683.9	1.02247396771456	0.95840072615138	1.09083078312362	0.500871875433108	1.01704618802644	0.943424850987434	1.0964126580898	0.659298462529116	TOMM7
ENSG00000101204.14	0.997441137583881	0.986512079244963	1.00849127332133	0.648540413683643	0.997433289461532	0.986082834120332	1.00891439593263	0.659850530273941	CHRNA4
ENSG00000198231.11	0.961506363745688	0.859528517710268	1.07558326277091	0.49257685034267	0.970420541256985	0.820305445415532	1.14800655311567	0.726200576666898	DDX42
ENSG00000063587.13	1.0014951716922	0.940988088806688	1.06589295959604	0.962522077705371	1.00136010183729	0.922218517894124	1.08729334110672	0.974188180998608	ZNF275
