	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0781922325252614	1.08133050558571	0.205907312607609	0.379744806219047	0.704134856658464	0.722253795648022	1.61892629620747
BRCA	-0.191497910993892	0.825721350041625	0.197017581260276	-0.971983869505069	0.331058573353542	0.561218326941063	1.21488503704221
CESC	0.155772612532055	1.1685604568739	0.351257740822561	0.443470974240376	0.657425109356174	0.587029673824809	2.32617464202819
CHOL	-1.00009041192132	0.36784618198789	0.689827253650237	-1.44976935403656	0.14712284816977	0.095166529048555	1.42183197134394
COAD	0.409351421767477	1.5058408127528	0.310229835814762	1.31951016475379	0.186998614157803	0.819805728415692	2.76596817362348
ESCA	-0.364794697647253	0.694339185714541	0.310465419760886	-1.17499300865201	0.239997512871374	0.377835735937407	1.27596957874466
GBM	-0.250629721050761	0.778310510207728	0.333515223221896	-0.751479103800942	0.452364371964236	0.404822108410565	1.49637887287879
HNSC	0.0543495207927308	1.05585358044898	0.164241668911255	0.330911888274208	0.740711041861564	0.765245765211987	1.45682189177237
KICH	-0.672749674710902	0.510303478319383	0.787747610202431	-0.854016776436836	0.393095693992769	0.108967389587157	2.38979424001502
KIRC	0.696527134142534	2.00677134413324	0.257058463531715	2.70960591833071	0.0067363192877099	1.21252117027679	3.32128735262828
KIRP	0.983530206574239	2.67387894513008	0.485316932760862	2.02657302925564	0.0427060971330012	1.03285467449692	6.92220192225238
LIHC	-0.0205680608753518	0.979642018912138	0.25927299854495	-0.0793297450593797	0.936770347712967	0.589350733223993	1.62839957790211
LUAD	0.572040375825629	1.7718786640493	0.212790327777864	2.68828184908289	0.00718207469555517	1.16763343718559	2.68881816855174
LUSC	0.277210248157091	1.31944375249181	0.195155319147606	1.42045960811051	0.155473919802227	0.900066032627044	1.93422677101632
PAAD	0.620342120862842	1.85956412871507	0.247701613374212	2.50439273451832	0.0122661792849847	1.14437184529467	3.02172651574928
PCPG	0.91268022871112	2.49099001716581	0.948169886850449	0.962570359350669	0.33576317832168	0.388408133889529	15.9755440842147
PRAD	-0.261305873203692	0.770045347351912	1.20170772874047	-0.217445446138198	0.827861217448385	0.0730501022194469	8.11730331597633
READ	0.563938634586983	1.75758135635463	0.673985566721986	0.836722123486664	0.40274878053661	0.469048641690508	6.58586754045789
SARC	-0.632255261476134	0.531392020653315	0.2397970928413	-2.63662604906794	0.00837350838639026	0.332123322062132	0.850218761695956
STAD	-0.156738615155154	0.854927494705593	0.239739006783087	-0.653788539705471	0.513248050927863	0.534395843784447	1.36771464393798
THCA	-1.4159002757519	0.242707011825073	0.744170892299838	-1.90265474019833	0.0570856113123132	0.0564472659321303	1.04357035927804
THYM	2.35153929677869	10.5017225572397	1.14406050880739	2.0554326267498	0.0398372368593685	1.11540983609601	98.8750261116969
UCEC	-0.238678246360879	0.787668276739683	0.240895953995257	-0.990793919127337	0.321786219174893	0.491238443767386	1.26297386137769
