	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.143048002888469	1.15378518535828	0.127683928389285	1.12032896146758	0.262573604830684	0.898338890573501	1.48186866662579
BRCA	0.108416513080292	1.11451185749216	0.118931806771299	0.911585521346465	0.361986947024778	0.882774451953907	1.4070827239521
CESC	0.521547188634704	1.68463207801316	0.220140679387553	2.36915407949901	0.0178288242863977	1.09426114872887	2.59351731674623
CHOL	-0.676828887139512	0.508226081979395	0.458204803699262	-1.47713180148967	0.139640310411666	0.207029538064457	1.24761786563862
COAD	-0.100834252804726	0.90408286966795	0.198823200393387	-0.507155365194898	0.61204581036039	0.612307565399889	1.33489422867612
ESCA	0.443288359509103	1.55782148221852	0.237692139155479	1.86496853065527	0.0621858153761362	0.977673340270342	2.4822276219483
GBM	-0.269779030356586	0.763548196669867	0.20796836214687	-1.29721188151717	0.194558293698938	0.507941228468194	1.14778209753909
HNSC	0.00274528630603443	1.00274905805521	0.13549598001687	0.0202610166419152	0.983835153611415	0.768878780472801	1.3077557853948
KICH	-0.210718828592304	0.810001784207877	0.607065932244923	-0.34711028473146	0.728508467217365	0.24646231142081	2.66208203046394
KIRC	0.12192014501927	1.12966388889031	0.179063888982205	0.68087510950567	0.495950518886646	0.795297811895326	1.60460708274996
KIRP	0.235992408695635	1.2661646982888	0.249965365763532	0.944100427572371	0.345118330867737	0.77574555501983	2.06662227429943
LIHC	0.361090210139467	1.4348928969286	0.148958922921203	2.42409251529349	0.0153466953101793	1.07158202657869	1.92138126115253
LUAD	0.0285064948884849	1.02891669351201	0.113962570800711	0.250139099953572	0.802479779470679	0.822953122299255	1.28642754186272
LUSC	0.0389918044242163	1.03976196216728	0.126326610540922	0.30865867656273	0.757581181187542	0.81171677207875	1.33187458379272
PAAD	0.0488517881706372	1.050064707195	0.249593531994127	0.195725377097459	0.844825120510343	0.643815847206774	1.71265726695043
PCPG	1.35648151691031	3.88250870018601	1.02789138378846	1.31967398336465	0.186943889914742	0.517809132172516	29.1108689871424
PRAD	0.651764102813389	1.9189230223708	0.641188735592866	1.01649337649506	0.309394500019391	0.546105703270252	6.74277075616334
READ	-0.485152422695122	0.615603357689959	0.423463501555526	-1.14567706759376	0.25192879594756	0.268440595717588	1.41173689838568
SARC	0.199971870713771	1.2213684014556	0.109119980042213	1.83258712690757	0.0668639939895537	0.986196789953233	1.5126197806271
STAD	-0.00617453423673003	0.993844489026389	0.164482678233331	-0.0375391153831469	0.970055152547268	0.719963574189894	1.37191227970043
THCA	1.31114404586975	3.71041617125937	0.645749081269745	2.03042340113226	0.0423135199820402	1.04655006641407	13.1548299558333
THYM	-0.98295474689322	0.374203786267904	0.657280632011547	-1.49548716183068	0.134787347967497	0.103188164935191	1.35702067911743
UCEC	0.0190199534365377	1.01920198499664	0.190012366059924	0.100098503223413	0.920266123620288	0.702298016116974	1.47910525500912
