	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.106569454370337	0.89891261258355	0.05391180203492	-1.97673701022476	0.048071365030782	0.808774900555681	0.99909614468328
BRCA	-0.0565113681899994	0.945055740860857	0.074330632727648	-0.760270242782145	0.447093065243662	0.816934195618754	1.09327086333753
CESC	-0.205228086682756	0.814461527396203	0.0968519044235689	-2.11898865493877	0.0340914257461088	0.673643438406925	0.984716159601115
CHOL	0.504447079032991	1.65606959166601	0.372058318475849	1.35582798175156	0.175153906033183	0.798696843328659	3.43380159236748
COAD	0.203011813022396	1.22508694014148	0.146085950033061	1.3896737706566	0.164627963142208	0.920064605817707	1.6312311129188
ESCA	0.140034948300002	1.15031399967351	0.12873311835584	1.08779271479249	0.276686626393422	0.893796349002321	1.48045167036302
GBM	-0.0306478114177808	0.969817071435986	0.121138921020031	-0.252997229624599	0.800270354013763	0.764849853967035	1.22971214176267
HNSC	0.0199534902609781	1.02015389183209	0.0461320492641857	0.432529891458103	0.665356331922667	0.931961601893974	1.1166918904225
KICH	-0.259774147698635	0.771225749245558	0.416252564750984	-0.624078191215568	0.532576235652623	0.341088200352564	1.74379868809466
KIRC	-0.307735422578091	0.735109785733979	0.0996396987935483	-3.08848206391826	0.00201181837253602	0.604698287527766	0.893646316233439
KIRP	-0.0364716556815314	0.964185422687698	0.2050901585365	-0.17783230527388	0.858854675763784	0.645041269832599	1.44123108520594
LIHC	-0.278062804631238	0.757249261260241	0.0729561213922844	-3.81137044191394	0.000138198482303677	0.656354542430864	0.87365350067579
LUAD	-0.118447410608992	0.888298529507167	0.0833812766180156	-1.42055165635831	0.155447141193307	0.754370456688454	1.04600368496466
LUSC	-0.00227839334820672	0.997724200219821	0.0855806836701845	-0.0266227523606532	0.978760625930188	0.84365346844101	1.1799318285786
PAAD	-0.336368442862497	0.714359856532482	0.134144716066682	-2.50750422920342	0.0121587126554804	0.549202938238171	0.929182946948844
PCPG	0.125750785603449	1.13399952405791	0.578699515727275	0.217298930076713	0.827975390851146	0.364773223819742	3.5253544848978
PRAD	0.214287943818181	1.23897935988301	0.745880765380614	0.287295173389855	0.7738863180367	0.287189933448542	5.34513809653135
READ	-0.382426345359755	0.682204136626274	0.2348561270109	-1.62834306358976	0.10345216309707	0.43053102263116	1.08099639646343
SARC	-0.078447578488347	0.924550524997356	0.0699867300694646	-1.12089218071032	0.262333759659336	0.806042306160425	1.06048239247477
STAD	-0.146509772902632	0.863717291268526	0.0650803751814184	-2.25121278871274	0.0243720632905222	0.760282682379721	0.981223927001995
THCA	0.324456840847435	1.38327910119065	0.562116910830792	0.577205265658877	0.563800800366027	0.459658222839983	4.16279091009958
THYM	-0.332729693214251	0.71696396819104	0.273517734886684	-1.2164830677327	0.223800957328033	0.419448467737145	1.22550771125089
UCEC	0.0755166935498494	1.07844123058023	0.149099966734319	0.506483637816048	0.612517173220862	0.80516031578685	1.44447691349369
