	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.123978732810664	1.13199179645931	0.153876292183442	0.805703926520818	0.420413584948659	0.837266166921412	1.53046364212094
BRCA	0.110530113675494	1.11686998160591	0.104291671236101	1.0598172640773	0.28922774112573	0.910394000279216	1.37017440298356
CESC	0.124069053267734	1.13209404309318	0.255954967698998	0.484730006934808	0.627867878085919	0.685509127420158	1.86961321321917
CHOL	-0.474051995589198	0.622474885777782	0.574709613589883	-0.824854821251493	0.40945401841237	0.20180323513588	1.92006328918941
COAD	-0.413111293111832	0.661588648470985	0.200057882396234	-2.06495884172974	0.0389268947874115	0.446990678777923	0.979214020709198
ESCA	-0.356048157062211	0.700438888343923	0.298122651855352	-1.19430091892167	0.232360278311539	0.390488086818706	1.25641383915574
GBM	-0.428436671740334	0.651526849309238	0.23902743855689	-1.79241627792603	0.0730663092291816	0.40782307324801	1.0408612538523
HNSC	-0.140855022472442	0.868615232258394	0.162940176766012	-0.864458510283285	0.38733606281829	0.631149890315513	1.19542510153037
KICH	0.774054721122868	2.16854128175789	0.49096909228223	1.57658543743505	0.114890945718319	0.828426618732265	5.67650916128752
KIRC	-0.415309409938357	0.660135996464852	0.163183298555167	-2.54504850444577	0.0109262559821849	0.479436991450217	0.908940156057802
KIRP	0.749927984193381	2.11684756463841	0.275559512507681	2.72147376575315	0.006499154344432	1.23348224647776	3.63283997375015
LIHC	0.206319093153094	1.2291453532923	0.169976679159025	1.2138082363644	0.224820960411251	0.880884223800204	1.71509292447349
LUAD	-0.0575299646996297	0.944093600481414	0.16799083931463	-0.342458939632308	0.732005539350668	0.679236463488463	1.31222744122467
LUSC	-0.0490675401008552	0.952116821460689	0.152078679650898	-0.322645752931913	0.746963539429947	0.706709014901004	1.28274356573107
PAAD	-0.490665636511838	0.612218743377014	0.214060183334502	-2.29218544461908	0.0218949444974945	0.402437333919	0.931354420058774
PCPG	2.68284925954169	14.6267092713238	1.18773795183723	2.25878886448965	0.0238965215360398	1.42607462293139	150.020637537229
PRAD	0.0284433260751616	1.02885170011827	0.762973664371584	0.0372795646866641	0.970262099182845	0.230626080928452	4.58983570537561
READ	-0.421290759919581	0.656199277219429	0.423666687005923	-0.994391989837264	0.320032066312922	0.286028961901164	1.50543318607048
SARC	0.29309184037101	1.34056590284813	0.192609025638543	1.52169317818489	0.128085977726273	0.919049851265075	1.95540746500887
STAD	0.0475016574748222	1.0486479392274	0.193786585041826	0.245123559324655	0.806360761584593	0.717262734331999	1.53313764651389
THCA	0.388403136245844	1.47462413891654	0.739024767231835	0.525561731443298	0.599192751635355	0.346435442371919	6.27682992302176
THYM	0.316778714045403	1.37269877935442	0.744642217267686	0.425410629023638	0.670537358986269	0.318958839862211	5.90766488759217
UCEC	0.147789921148855	1.15926933281049	0.189412493294236	0.780254346366033	0.435241179193013	0.799753483896715	1.68039953942662
