	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0517333486791539	1.053094895926	0.143436680097162	0.360670287712393	0.718345938705407	0.795012549932906	1.3949576769813
BRCA	-0.0896215982696431	0.914277083853346	0.179164329874274	-0.500220095889252	0.616920109717984	0.643536049756498	1.29892115037793
CESC	0.553775756301492	1.73980972935449	0.295337494134173	1.87506079417708	0.0607843603971228	0.975236673406666	3.10379826445917
CHOL	-0.100656918111034	0.904243209143171	0.439018233704515	-0.229277306460993	0.818653390538634	0.382465492784259	2.13785503975587
COAD	-0.0044438710862448	0.995565988298852	0.265183554590305	-0.0167577174727533	0.986629901724728	0.592032298460807	1.67415129146554
ESCA	0.00902376384989222	1.00906460074865	0.370201424210169	0.02437528129219	0.980553265137781	0.488430693054885	2.08465885326667
GBM	-0.114722503163889	0.891613529514356	0.242277118378759	-0.473517697137788	0.635843878165515	0.554561853891906	1.4335185163457
HNSC	-0.0939900319289423	0.910291836049248	0.16854153169196	-0.557666890679063	0.577071870533497	0.654210990608786	1.26661159575876
KICH	0.448355904740944	1.56573584931266	0.490460780643206	0.914152410215054	0.360636766459077	0.598738964605035	4.09448673753849
KIRC	-0.217338606995457	0.804657460525835	0.192352644077467	-1.12989664393658	0.258519778281777	0.551925137861511	1.17311857055213
KIRP	0.953129270640782	2.59381371792152	0.434416798357755	2.19404331104124	0.0282322960423416	1.10703801265688	6.07736096354185
LIHC	-0.168152507273087	0.845224921906855	0.145973483889919	-1.15193871374539	0.249346258302301	0.634920631036463	1.12518814744802
LUAD	-0.154283864372821	0.857028706562661	0.156334563949803	-0.986882621954029	0.323700184444508	0.630845699734271	1.16430722153113
LUSC	-0.107795264649831	0.897811391344727	0.179219346937226	-0.601471138534994	0.54752622932656	0.631878133619848	1.27566575189212
PAAD	0.262482925572413	1.30015426858906	0.288172512106347	0.910853445576191	0.362372597783573	0.739097952474724	2.28711379387586
PCPG	1.31717123196037	3.73284706969288	1.09245201946338	1.20570167704699	0.227932538168901	0.438675472873932	31.7641356933562
PRAD	-0.10781395493569	0.897794611149989	0.90619218881295	-0.118974712281419	0.905295390135871	0.151993426150561	5.3030922732903
READ	0.101683367885808	1.10703289406306	0.580521945083293	0.175158525439066	0.860955072360972	0.354829198344125	3.45383591388972
SARC	0.0478459828764452	1.04900907752121	0.205056041637622	0.233331251760918	0.815504192846367	0.701835331106602	1.56791770939608
STAD	0.147232198740032	1.15862296259005	0.204098225237489	0.721379123060537	0.4706762877224	0.776628649031063	1.72850585812893
THCA	0.623593771412893	1.865620622902	0.845729095907154	0.737344587564424	0.460912823879192	0.355580079170238	9.78834448971166
THYM	-0.345193660597192	0.708083212371046	1.13572176458498	-0.303942102160326	0.761172001289397	0.0764462487643132	6.55861920952432
UCEC	0.138000723230802	1.14797638052576	0.210978559771192	0.654098328192519	0.513048458504825	0.759185101799396	1.73587411966
