	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0492102699843653	1.05044120377533	0.0452539884019143	1.08742393150663	0.276849499577533	0.961283491227548	1.14786817068906
BRCA	-0.0809396326057722	0.922249363555107	0.0568149112678592	-1.42461953736361	0.154267209335279	0.82506359359264	1.03088282549738
CESC	0.00486384398160381	1.00487569167139	0.0909070991650592	0.053503456014723	0.957330777093894	0.840876232988903	1.20086062145294
CHOL	-0.0613098551663011	0.94053176599425	0.264425277866196	-0.231860795083763	0.816646135762779	0.56013700332158	1.57925649903262
COAD	0.161952774276326	1.17580471178138	0.0901329414237785	1.79682113684575	0.0723640196669826	0.985403039113617	1.40299620091582
ESCA	-0.0869559895905786	0.916717439855215	0.10674295044136	-0.814629811439853	0.415284240813198	0.743662238262743	1.13004375010069
GBM	-0.0443586708768982	0.956610787504184	0.0932942676247451	-0.475470487161342	0.634451664098605	0.796751792927946	1.14854363290041
HNSC	0.0377143629612217	1.03843457513529	0.0528381036622057	0.713772076347211	0.475368129103316	0.936274648905759	1.15174149817758
KICH	0.259273310307174	1.29598796329661	0.318201907613168	0.814807529759902	0.41518249016284	0.694619567328191	2.41799235151134
KIRC	0.371200258013012	1.44947331296984	0.0693862625994959	5.34976584854577	8.80681025993409e-08	1.26516896483083	1.6606263221867
KIRP	0.0953142413835392	1.10000446774621	0.0850099605205567	1.12121262967168	0.262197365023543	0.931180428654768	1.29943649138939
LIHC	0.0101117943891595	1.01016309133765	0.0660893271189158	0.153001926785623	0.878396755827173	0.887434195296424	1.14986494380013
LUAD	0.153041406169162	1.16537323158492	0.0709913130005131	2.15577652674287	0.0311011192335804	1.01399805748607	1.33934651932341
LUSC	0.0188216761011223	1.01899992037589	0.055120354516708	0.341465077032788	0.732753491175565	0.914651433237665	1.1352530592452
PAAD	-0.142124696176471	0.867513074177706	0.0853390671454475	-1.66541187911324	0.0958306110565323	0.733897288373182	1.02545539517864
PCPG	-0.141816745977737	0.867780266140101	0.213869828192753	-0.663098423822188	0.507267520069339	0.570641617422626	1.31964190362314
PRAD	0.230207376495669	1.25886104105391	0.231839666657804	0.99295940084082	0.320729740020523	0.79916326266446	1.98298795092225
READ	0.193796567332915	1.21384932123219	0.19645261566413	0.986479954353185	0.323897647217378	0.825931462539577	1.78396179523823
SARC	-0.0410932256181805	0.959739653454627	0.0480238351830669	-0.855683963213956	0.392172613019399	0.873525276338658	1.05446313617158
STAD	0.142886126401492	1.15359842978183	0.0714164029112353	2.00074661529912	0.0454197031035096	1.00291679438113	1.32691898734858
THCA	0.381294700240884	1.46417903574983	0.211530164854499	1.80255473493891	0.0714581712943887	0.967251432385878	2.21640431530943
THYM	0.044033292301458	1.04501714533514	0.157123895646137	0.280245675684026	0.779289025896592	0.768031996743721	1.42189497140028
UCEC	-0.0386010807237869	0.962134446578197	0.0794032502335499	-0.486139806749081	0.626868045293654	0.82346964464276	1.12414914054777
