	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.227202394615524	1.25508386445185	0.168150432411208	1.35118531280316	0.176636078178721	0.90269874505176	1.74502902041484
BRCA	0.0488252187798323	1.05003680798606	0.188610155238691	0.258868451266808	0.795736740874201	0.725536503762597	1.51967170832569
CESC	-0.126068324737429	0.881554612738257	0.267161130128584	-0.471881237651422	0.637011560911417	0.52220527678384	1.48818591038823
CHOL	-0.1905847507188	0.826475710350293	0.635085024546281	-0.300093284131456	0.764106001755605	0.238037149786861	2.86956090849952
COAD	0.171872229339661	1.1875260925271	0.245877203340548	0.699016529408026	0.48454170092855	0.733418914276151	1.92280045275965
ESCA	-0.182782696580855	0.832949138768091	0.30668042140694	-0.596003800119726	0.551172688069491	0.456637564924211	1.51937624292836
GBM	-0.312595146348684	0.731546021702397	0.274316704001082	-1.13954105524486	0.254477554681562	0.427309798008873	1.25239248985695
HNSC	-0.101869463838466	0.90314743737431	0.182448069598589	-0.558347720875276	0.576606964415838	0.631623930072058	1.29139390514024
KICH	2.41997515595285	11.2455799256933	1.16002742433483	2.08613615953129	0.0369662910823401	1.15761653856722	109.24435134771
KIRC	0.158498121451253	1.17174972303416	0.238762985681754	0.663830371356281	0.506798884715881	0.733836717140713	1.8709848953597
KIRP	0.290400469794503	1.33696279404676	0.437969918015338	0.66306031042144	0.507291928716704	0.566654903796526	3.15442344306821
LIHC	-0.609040757085302	0.543872324607132	0.25170136043232	-2.41969592869589	0.0155334900751194	0.332084322662011	0.8907289061478
LUAD	0.168545538570983	1.18358212425622	0.178020745348991	0.946774704490574	0.343753594117664	0.834962295021239	1.67776036500336
LUSC	-0.0376023664760343	0.963095823948978	0.167013786056831	-0.225145285091849	0.821866252796903	0.694235962911025	1.33607824379856
PAAD	1.08438126234054	2.9576092682464	0.372055152764985	2.91457127869832	0.00356177462314706	1.42641822250738	6.13245992345821
PCPG	5.51531999463691	248.469473426553	2.16440233352743	2.54819536516038	0.0108281812356594	3.57215613501238	17282.86135641
PRAD	0.253577034560565	1.28862664444911	0.936766224335155	0.27069404081102	0.7866263605009	0.205470865859453	8.08172303084585
READ	-0.0548528633218245	0.946624420879923	0.514861291134783	-0.106539109205366	0.915154627307687	0.345085712430504	2.59673977196814
SARC	-0.0225861814235097	0.977666976830768	0.187211987467696	-0.120644952970263	0.903972261546251	0.677385371206467	1.41106194230769
STAD	-0.0910002004226001	0.913017527909901	0.182532823161534	-0.498541571025111	0.618102376150098	0.6384206034354	1.30572384692007
THCA	-0.375700568693792	0.686807954058878	0.915125906999762	-0.410545222050948	0.681406037363806	0.114255925327159	4.12849630693433
THYM	-1.42052901149124	0.241586181220757	1.20790219586119	-1.17602982787729	0.239582956905545	0.0226414311970897	2.57774707123331
UCEC	-0.279917871676256	0.755845815256498	0.237639709697463	-1.17790865858495	0.238833022830614	0.474410098811519	1.20423848031898
