	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.00360146872701037	1.00360796180804	0.0190731426462454	0.188824085983509	0.850230693530209	0.966783009819931	1.04183558334573
BRCA	-0.00562857503287709	0.994387235717666	0.0245528655621804	-0.229243100713546	0.818679974875714	0.947667755296762	1.04340995990581
CESC	0.0617439997590565	1.06369000497244	0.03266877207349	1.8900006287399	0.0587578759918236	0.997716993109339	1.13402541451378
CHOL	-0.0243157896124799	0.97597745754594	0.0959923235513681	-0.253309730537649	0.800028877385208	0.808594853447176	1.17800897888112
COAD	0.0391635639839703	1.03994056656222	0.024662805542795	1.58796062013357	0.112295244209341	0.990867312016186	1.09144420132418
ESCA	-0.0549813997759505	0.946502752953023	0.0302599378698974	-1.81697001534977	0.0692217047089641	0.891999427538452	1.00433636355561
GBM	0.054381281940106	1.05588711610271	0.0483348338717837	1.12509504189797	0.260548762109608	0.960450098640044	1.16080742094811
HNSC	0.0127073575290967	1.01278843907686	0.0164666470769734	0.771702792298643	0.440290476536653	0.980623507300564	1.04600839638382
KICH	0.164373593637456	1.17865457069763	0.165115581631088	0.995506250916462	0.319490105593333	0.852785695188557	1.62904538017519
KIRC	0.0152069635061396	1.01532317771682	0.0250044753108633	0.608169670312292	0.543074948123526	0.966763960878831	1.0663214568651
KIRP	0.111516607764001	1.11797231087165	0.0593579135532524	1.87871508765136	0.0602834065730845	0.995188845860317	1.25590443771024
LIHC	0.00812863574357021	1.00816176280152	0.0186308544093423	0.436299676062853	0.662619316867647	0.972011962109946	1.04565599971506
LUAD	0.0174576571068561	1.01761093264752	0.0291509776181099	0.598870382172383	0.549259323425702	0.96109962326245	1.07744502773671
LUSC	-0.0402694905607657	0.960530550353199	0.0285364220536084	-1.41116116397198	0.158197098483406	0.90828247764552	1.01578414300523
PAAD	0.00381091862694468	1.00381818941052	0.0347775666446225	0.109579795098573	0.91274263532062	0.937675011650145	1.07462707747552
PCPG	-0.109425471924907	0.896348965035791	0.0853841330618333	-1.28156682044969	0.199994645631545	0.758224852931532	1.05963483525287
PRAD	0.204195905367626	1.22653841538031	0.211379973161048	0.966013488950775	0.334037431355743	0.810502195424856	1.85612882098988
READ	-0.0430780287061214	0.957836648396721	0.0407552706469821	-1.05699282625943	0.2905148614416	0.884301782791327	1.03748636818971
SARC	0.0182856906436467	1.01845389758061	0.0214670364655372	0.851803213405923	0.394323322555294	0.97649179839316	1.06221920471216
STAD	0.0211952368656961	1.02142145129452	0.0228442268118748	0.927815900281573	0.353503074716713	0.976697178892526	1.06819370805145
THCA	0.105147073579599	1.11087397855435	0.174196879199821	0.60361054723021	0.546102598864377	0.789565459696809	1.56293690545054
THYM	0.05609470657019	1.057697849929	0.132286868579532	0.424038358247669	0.671537839105196	0.816129046359465	1.37076942272153
UCEC	0.115841285936528	1.1228176510386	0.0394811602072513	2.93409021742102	0.00334526957814347	1.03920877866682	1.21315322133939
