	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0664989720112965	0.935663877707733	0.0550002253949051	-1.20906726352173	0.226637004812638	0.840047002858013	1.04216417541941
BRCA	0.108595972545971	1.11471188514249	0.0827987182904729	1.31156586464293	0.189666656875238	0.947729141499519	1.31111573177109
CESC	0.202139875846122	1.22401920686002	0.0801265224274849	2.52275862875567	0.0116438292553707	1.04612700470267	1.43216168976353
CHOL	-0.0050564044350856	0.994956357658657	0.325058494800903	-0.0155553677752142	0.98758911272586	0.526155045109043	1.88145711582072
COAD	0.0314525545101547	1.0319524129464	0.0946984440378936	0.332133804622692	0.739788225205228	0.8571408811147	1.24241627724134
ESCA	0.0799158446215547	1.08319590707769	0.125828391169404	0.635117749490759	0.525351621638981	0.846450741148376	1.38615670832545
GBM	0.0106311134119234	1.01068782448723	0.0811229912822632	0.131049327001922	0.89573628653796	0.862114636812177	1.18486548650175
HNSC	0.0169219977159614	1.01706598576116	0.0573209250315863	0.295215014528057	0.76782963293192	0.908986577712552	1.13799614290832
KICH	0.0197402049615185	1.01993633120584	0.370643977415838	0.0532592087402822	0.957525380757035	0.493265040516434	2.1089475926056
KIRC	0.0309139853722822	1.03139678486053	0.0815009906274995	0.37930809348778	0.704459090208934	0.879127781021392	1.21003948548266
KIRP	0.017616272208016	1.01777235391013	0.135797765798813	0.129724315450924	0.896784544173376	0.779936745625629	1.32813407009416
LIHC	0.115601900882706	1.12254889744385	0.0924593311462943	1.25029999081211	0.211189981784634	0.936491289559703	1.34557154049437
LUAD	0.148398324582638	1.15997485085129	0.0692260423831324	2.14367771829748	0.032058718736184	1.01279898954177	1.32853771429634
LUSC	0.0892899722702748	1.09339766536553	0.0573822150913136	1.55605656087318	0.119694643241839	0.97708942331128	1.22355070693047
PAAD	0.135958913871072	1.14563482292785	0.0994173458777651	1.36755726750375	0.171450700103234	0.942805283873534	1.39209990647548
PCPG	0.229661464854784	1.25817400170579	0.345986502644737	0.66378735326159	0.506826421105214	0.638611098476284	2.47881977363906
PRAD	0.0680035182444975	1.07036907429226	0.449055578970376	0.151436751772287	0.879631200030966	0.443911862741431	2.58089510860538
READ	-0.220279887999008	0.802294214012593	0.197741973112014	-1.11397638312341	0.26528931851704	0.544521945468573	1.18209378188456
SARC	0.0681310721998929	1.07050561280924	0.0784923704628711	0.867996109661647	0.385396462372075	0.917859319379433	1.24853803067653
STAD	0.178064848655282	1.19490280656256	0.0876019705172834	2.03265802816788	0.0420870844949714	1.00638846118959	1.41872922056695
THCA	0.360540875055057	1.43410487638143	0.285093402846015	1.26464124197849	0.205999961870853	0.8201796094836	2.50756879673697
THYM	-0.0507441850871139	0.95052179708412	0.22470880476103	-0.225821970532391	0.821339888409998	0.611912886190328	1.47650377549167
UCEC	-0.0772620826291122	0.925647225755055	0.0750689167871856	-1.029215365504	0.303378483447543	0.798999901983026	1.0723690759179
