	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.00592520149132914	0.994092317895982	0.0781530404681621	-0.075815367589479	0.939565989746048	0.852909062593257	1.15864583909466
BRCA	-0.0261448130842584	0.974194003355136	0.0654324768650056	-0.399569362752354	0.689473725768386	0.856937654854056	1.1074947527364
CESC	-0.247331630555257	0.780881686359167	0.165919035588361	-1.4906766404361	0.13604641189123	0.564098179978366	1.08097531552845
CHOL	0.294463455195007	1.34240590451133	0.298523903584909	0.986398247037704	0.323937724960117	0.747790332566457	2.40983807089634
COAD	0.0785245241717332	1.08168988238543	0.113251272053856	0.693365493805591	0.488080211231443	0.866369410588295	1.35052436911468
ESCA	0.249045637413134	1.28280057543377	0.149107819371057	1.67023861299575	0.094872163205406	0.957719522039206	1.71822467691731
GBM	-0.0301435837833497	0.970306203310287	0.0929783521904618	-0.324200021544821	0.745786605767867	0.808659124047656	1.1642657581972
HNSC	-0.00064122238508794	0.999358983154051	0.0813571470655719	-0.00788157412367386	0.993711478798294	0.852060026906882	1.1721220872621
KICH	0.499168683546859	1.64735123112827	0.359834630710168	1.38721690728239	0.165375631430879	0.813756389935132	3.33486300355338
KIRC	0.317379998582119	1.37352441009864	0.0794239148186961	3.99602562158531	6.44147655000151e-05	1.1755216259057	1.60487843316644
KIRP	0.593149731250162	1.80967945199771	0.153216565060749	3.87131594429742	0.000108249377667494	1.34024278702262	2.44354213333099
LIHC	0.206097579482116	1.22887311094674	0.0581628553579993	3.5434570433924	0.000394917641178138	1.09647498787753	1.37725815864812
LUAD	0.216969224198351	1.24230586859043	0.0612199843814727	3.54409146605423	0.00039396854368359	1.10183862275553	1.40068049826989
LUSC	-0.0229359819004647	0.977325048262844	0.0807172782326612	-0.284152072550731	0.776293842716826	0.834319430161804	1.1448423894152
PAAD	0.105046885741819	1.11076268806746	0.096562918655915	1.08785947239369	0.276657149873579	0.919235477559531	1.34219553022304
PCPG	0.607821366353562	1.83642613759491	0.357634973289479	1.69955796202732	0.0892141032900295	0.911074778692663	3.70162915022304
PRAD	0.456888010208819	1.57915202544086	0.285990459403915	1.59756381790184	0.110140084237634	0.90154710117417	2.76604640645638
READ	-0.104439845574886	0.900828984626763	0.240091491029133	-0.435000195663798	0.663562285414334	0.562698948627766	1.44214390576461
SARC	0.176099493730969	1.19255670466424	0.0820651882364065	2.14584889787466	0.031885035976763	1.0153716269442	1.40066105463256
STAD	-0.0777514698355391	0.925194336673206	0.0715835945239653	-1.08616325224502	0.277406772136927	0.804083035632248	1.06454746920399
THCA	-0.389102718096816	0.677664658014876	0.24056070844847	-1.6174824251491	0.105774186333548	0.422911203510505	1.0858766211688
THYM	-0.358085355346115	0.699013407928737	0.173661301249989	-2.06197553956274	0.0392100648111389	0.497352996084844	0.982440536823051
UCEC	-0.000592779116281987	0.999407396542548	0.105850355320828	-0.00560016179903505	0.995531740718016	0.812161827849594	1.22982281364857
