	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0180586595945876	1.01822270316897	0.134351662542899	0.134413369010759	0.8930757106235	0.782496554124275	1.32496107207657
BRCA	0.179998869023366	1.19721600909771	0.142380592841647	1.26420929588035	0.206154915178302	0.905686585375883	1.58258518518853
CESC	-0.113317188704288	0.892867407740001	0.255437929358322	-0.443619273727082	0.657317868607347	0.541200028225431	1.47304539214155
CHOL	0.590363558928254	1.80464439072836	0.543413789319083	1.0863978252521	0.277303023314018	0.622066737588952	5.23535688407008
COAD	-0.0937843250195921	0.91047910863042	0.17303347786101	-0.542001040370492	0.587817789182378	0.648609972536483	1.27807502559763
ESCA	0.00374688724318012	1.0037539156006	0.230099263395125	0.0162837863446176	0.987007992450551	0.63939083137405	1.57575284731308
GBM	-0.0926403283341401	0.911521289725064	0.17921086681352	-0.516934770649473	0.605201694246178	0.641537799576348	1.29512409427898
HNSC	0.157480041212734	1.17055739484252	0.138543487072852	1.13668310607719	0.255670784170062	0.892204240231017	1.53575218860843
KICH	0.305433066640454	1.35721263927228	1.05092260599507	0.290633263475434	0.771331817104183	0.173021850040265	10.6462053652285
KIRC	0.506583095606604	1.6596107644163	0.136782302974705	3.70357191383367	0.000212584880723491	1.2693369887555	2.16987916823167
KIRP	0.187376503138622	1.20608129296909	0.314187543991204	0.596384251133353	0.550918558967797	0.651537862984909	2.23261327988807
LIHC	0.338259835937361	1.40250487723399	0.159502426556791	2.1207190588848	0.0339454516691349	1.02597237808251	1.9172250371315
LUAD	0.162321501459566	1.17623834288167	0.110426752917385	1.46994724712232	0.141576041922225	0.947326987931178	1.46046365921282
LUSC	-0.00698029416998569	0.993044011496914	0.115794005731234	-0.0602819992788527	0.951931038364976	0.791415333525114	1.2460415751328
PAAD	0.0699835195218403	1.07249050595221	0.265083513436709	0.26400555287098	0.791775639940882	0.637901995370127	1.8031545499246
PCPG	2.12084705595874	8.33819741699521	1.30699938053985	1.62268405596546	0.104656961458081	0.643505530411053	108.041862702213
PRAD	0.910610232454388	2.4858390102765	0.861717343775791	1.05673889359632	0.290630769241976	0.459174610513171	13.4576159995136
READ	0.00552645334853964	1.00554175236196	0.352924909321132	0.0156590062151466	0.987506431285333	0.503488877130943	2.00821559654871
SARC	0.466482019362808	1.59437533394008	0.179110335933506	2.60443941959882	0.00920246878827008	1.12235842917067	2.26490276137087
STAD	-0.250144880364275	0.7786879583035	0.127517543535302	-1.96165071431935	0.0498031635570107	0.606485369884785	0.999784935491624
THCA	0.488165682508412	1.62932477822704	0.742959407067493	0.657055658579292	0.511145128840245	0.379838925146138	6.98901312424264
THYM	0.0289684137154384	1.02939207929047	0.721027687725437	0.0401765621606328	0.967952363226057	0.250519157062323	4.22980847186211
UCEC	0.20619999145059	1.2289989687056	0.186177532570814	1.10754497926414	0.268058376679546	0.85325121509421	1.77021542818741
