	SNP	Chromosome	Position	trait1
1	ENSG00000007908	1	169691780	0.438543558616448
2	ENSG00000063587	23	152599612	0.974188180998608
3	ENSG00000099974	22	24309088	0.0928205563019028
4	ENSG00000101204	20	61975420	0.659850530273941
5	ENSG00000110218	11	93862093	0.000879110134300283
6	ENSG00000113812	3	53901092	0.0294121886949844
7	ENSG00000123415	12	54558528	0.0488121372755657
8	ENSG00000134250	1	120454175	0.0744952015581642
9	ENSG00000143622	1	155867598	0.127320091788031
10	ENSG00000145416	4	164445449	0.343920241251682
11	ENSG00000146530	7	12370510	0.0972978554474122
12	ENSG00000151553	10	116581502	0.316173750649984
13	ENSG00000163945	4	1341053	0.444539836480742
14	ENSG00000173039	11	65421066	0.43508258178801
15	ENSG00000175137	1	249104647	0.455782327728647
16	ENSG00000175643	16	11343475	0.411473783363526
17	ENSG00000179344	6	32627243	0.00447084958876785
18	ENSG00000182253	15	99638419	0.395435947162252
19	ENSG00000186470	6	26365386	0.0690682636816247
20	ENSG00000186529	19	15751706	0.443650191461997
21	ENSG00000186716	22	23521890	0.00266606991464399
22	ENSG00000189339	1	1592938	0.00724100626159516
23	ENSG00000196418	1	247285276	0.212386221905096
24	ENSG00000196683	7	22852250	0.659298462529116
25	ENSG00000198231	17	61850962	0.726200576666898
26	ENSG00000204267	6	32789609	0.444708422823324
