	SNP	Chromosome	Position	trait1
1	ENSG00000007908	1	169691780	0.198467765896601
2	ENSG00000009950	7	73007523	0.201031861464458
3	ENSG00000010165	1	171750787	0.0842218210404392
4	ENSG00000011198	3	43731604	0.375451688898465
5	ENSG00000012061	19	45910590	0.764217402549681
6	ENSG00000026652	6	161551010	0.000332763644566032
7	ENSG00000037637	1	16573333	0.533710563853844
8	ENSG00000038532	16	11038344	0.186586280058476
9	ENSG00000047597	23	37545011	0.00223786975468718
10	ENSG00000049239	1	9294833	0.935749605203167
11	ENSG00000053372	1	19578032	9.50483850504692e-05
12	ENSG00000054523	1	10270862	0.506608255404439
13	ENSG00000060069	18	77439800	0.0931642560907071
14	ENSG00000062725	17	58520519	0.749125185134227
15	ENSG00000063438	5	304290	0.00975577829830547
16	ENSG00000063587	23	152599612	0.962522077705371
17	ENSG00000063660	2	241375087	3.46241188784219e-05
18	ENSG00000064218	9	976963	2.53661793810689e-06
19	ENSG00000064666	19	1026297	0.505471064188698
20	ENSG00000065308	6	52362199	5.73962934561043e-08
21	ENSG00000067141	15	73344050	0.7503872431551
22	ENSG00000067334	1	94333372	0.0151134745192708
23	ENSG00000067840	23	153067620	0.851880884187383
24	ENSG00000070018	12	12268958	0.0467430995027528
25	ENSG00000071553	23	153656977	0.0704910687345099
26	ENSG00000071794	3	148747913	0.000709948721913318
27	ENSG00000072756	3	3168599	0.812135070796575
28	ENSG00000073150	22	50609159	2.37735018833709e-06
29	ENSG00000074410	15	63613576	0.133516726324422
30	ENSG00000075142	7	87834432	0.192939418701989
31	ENSG00000075651	3	171318194	0.905992932550995
32	ENSG00000077044	2	234263152	0.381890721647792
33	ENSG00000078124	11	76571910	0.222558634184093
34	ENSG00000078902	11	1295600	0.000754076928478759
35	ENSG00000080345	2	152266396	0.0346137071494666
36	ENSG00000080644	15	78885393	0.00448186501225472
37	ENSG00000081692	1	227918125	0.415555424357051
38	ENSG00000082781	3	124480794	8.63392241610462e-05
39	ENSG00000085449	2	224740063	0.955948255300933
40	ENSG00000087470	12	32832133	0.00559867137143206
41	ENSG00000093000	22	45559721	0.633468855501677
42	ENSG00000099942	22	21271713	0.316536310270994
43	ENSG00000099974	22	24309088	0.000848334636101339
44	ENSG00000100220	22	32783568	0.161273996691668
45	ENSG00000100228	22	23487512	0.000383419600963013
46	ENSG00000100426	22	50247489	0.211380365777578
47	ENSG00000100605	14	93403258	0.0169278107142749
48	ENSG00000101188	20	61340188	2.34120587966017e-05
49	ENSG00000101204	20	61975420	0.648540413683643
50	ENSG00000101290	20	5107431	0.0226827741076857
51	ENSG00000101350	20	30865466	0.281376498886929
52	ENSG00000101782	18	21032786	0.547149693479176
53	ENSG00000101844	23	107334897	0.0775401276854764
54	ENSG00000102445	13	46916138	0.0435058459487678
55	ENSG00000102572	13	99102454	0.0214257202133557
56	ENSG00000102753	13	50273446	0.00869832871664687
57	ENSG00000103018	16	69458427	0.333871618020815
58	ENSG00000103037	16	58549382	0.331237292918699
59	ENSG00000103264	16	87401257	0.0438434000184235
60	ENSG00000104447	8	116420723	0.0140725969444916
61	ENSG00000104626	8	8869172	0.398664842954773
62	ENSG00000104643	8	11141924	0.784751455449934
63	ENSG00000105419	19	47906380	0.0133731485221365
64	ENSG00000105750	19	21106027	0.912887579004055
65	ENSG00000105866	7	21467651	0.349225041082884
66	ENSG00000105928	7	24737971	1.64152337558864e-05
67	ENSG00000106018	7	158820865	0.13763104594006
68	ENSG00000106086	7	30068040	0.00773515309677204
69	ENSG00000106367	7	100797677	0.0517939487056551
70	ENSG00000106636	7	44240566	1.22808172044797e-12
71	ENSG00000106733	9	77675488	4.08350492378969e-07
72	ENSG00000106789	9	100883256	0.388820203306371
73	ENSG00000107957	10	105348284	0.00315164274699891
74	ENSG00000108064	10	60144781	0.147029478116733
75	ENSG00000108556	17	4801068	0.0108966237785202
76	ENSG00000108590	17	6546634	0.119174371466102
77	ENSG00000108960	17	53469973	1.41728154371056e-07
78	ENSG00000109133	4	41937136	0.882633882791448
79	ENSG00000110218	11	93862093	7.37630647070118e-09
80	ENSG00000111652	12	6832906	0.276468281724625
81	ENSG00000111802	6	24650204	0.532468179398935
82	ENSG00000111880	6	89319984	0.00613470667113013
83	ENSG00000112139	6	37600283	0.00514898829028561
84	ENSG00000112294	6	24495079	1.08591098931077e-05
85	ENSG00000112297	6	106959729	0.714393645466032
86	ENSG00000112742	6	80713603	4.69522055832552e-17
87	ENSG00000112874	5	102884555	0.298950603100888
88	ENSG00000113812	3	53901092	0.00116847760522904
89	ENSG00000114850	3	156257928	0.000221981044301802
90	ENSG00000115827	2	172290726	0.317897442107281
91	ENSG00000116260	1	180123968	4.81669464180157e-05
92	ENSG00000117228	1	89518001	0.27860972587999
93	ENSG00000117407	1	44398991	0.00449940323212258
94	ENSG00000118402	6	80624528	0.00374030488758065
95	ENSG00000119760	2	27873678	0.0117641895132705
96	ENSG00000120256	6	150139933	3.36693027346406e-06
97	ENSG00000120457	11	128761250	0.0858554294485797
98	ENSG00000120925	8	42704779	0.00906436181183699
99	ENSG00000122490	18	77662419	0.0971311632374017
100	ENSG00000122591	7	22980877	4.1372871733208e-07
101	ENSG00000122729	9	32384617	0.527665698063957
102	ENSG00000122863	10	73724122	0.457650922802917
