,TE.fixed,lower.fixed,upper.fixed,pval.fixed,TE.random,lower.random,upper.random,pval.random,symbol
ENSG00000173875.12,0.738592896816315,0.670445207890136,0.813667486630629,8.52286598497865e-10,0.739792679051056,0.662323068861643,0.826323638278506,9.28906574891679e-08,ZNF791
ENSG00000151498.10,0.804934702760732,0.749782571982698,0.864143686342524,2.07256389536333e-09,0.776530447640822,0.681765506632525,0.884467650896095,0.000139654492196463,ACAD8
ENSG00000141012.11,1.17089450017247,1.10155341408585,1.24460050053214,4.07751170545388e-07,1.16956391775842,1.07479985333887,1.27268323816114,0.000279948908222626,GALNS
ENSG00000106733.19,0.86251701049807,0.814539769461792,0.913320161015691,4.08350492378969e-07,0.844309114031965,0.766129980151921,0.930465976407924,0.000640889794641597,NMRK1
ENSG00000110218.7,1.20194031609126,1.12928883263882,1.279265748223,7.37630647070118e-09,1.21832279257338,1.0845086578203,1.36864783531285,0.000879110134300283,PANX1
ENSG00000112294.11,0.915168873359214,0.879730104086415,0.952035246804857,1.08591098931077e-05,0.910263792221261,0.856425816181724,0.967486215120371,0.00250621436498676,ALDH5A1
ENSG00000186716.18,0.880543610498229,0.820365773692023,0.945135785589631,0.000427869655525083,0.849888556818317,0.764313361833576,0.945045049687357,0.00266606991464399,BCR
ENSG00000116260.15,1.09525821719627,1.0482390567025,1.14438643996872,4.81669464180157e-05,1.11425650265429,1.03778422545116,1.19636387146627,0.00286047284285002,QSOX1
ENSG00000179344.15,0.956771857509096,0.931982081772753,0.982221016073797,0.000969231823790578,0.956740884398079,0.928011523472774,0.986359648265373,0.00447084958876785,HLA-DQB1
ENSG00000130770.16,0.895061281905782,0.838129410394499,0.955860381978167,0.000945433926253657,0.885491873603476,0.811591187513895,0.966121700532104,0.00623598860462196,ATPIF1
ENSG00000189339.10,0.895970054709994,0.847046883288047,0.947718898180565,0.000125930453242548,0.89225226847921,0.821017985254947,0.969667077827879,0.00724100626159516,SLC35E2B
ENSG00000173258.11,0.962261581310902,0.937881379025455,0.98727554632666,0.00330324130368415,0.951589836048572,0.91700041086109,0.987483980754857,0.00862236789921828,ZNF483
ENSG00000113812.12,0.841542170077455,0.758302538922888,0.933919099129759,0.00116847760522904,0.815960721073486,0.679482282645515,0.979851742038881,0.0294121886949844,ACTR8
ENSG00000172014.12,0.986774859867183,0.976601146030119,0.997054558070188,0.0118080681060239,0.986873985134847,0.975134639810071,0.998754656819112,0.0304599240688757,ANKRD20A4
ENSG00000071794.14,1.09019458296291,1.03703446692591,1.14607977519284,0.000709948721913318,1.11047169539954,1.00980933367819,1.22116853663041,0.0306716569699974,HLTF
ENSG00000106086.17,1.10663068059515,1.02712156916224,1.19229456376165,0.00773515309677204,1.1040103682241,1.00553381025411,1.2121311891425,0.0379188708617861,PLEKHA8
ENSG00000123415.13,1.1062278827414,1.02285528467879,1.19639615386922,0.0115630009481312,1.10350255140765,1.00051326425592,1.21709319053237,0.0488121372755657,SMUG1
ENSG00000141580.14,1.08450664801298,0.99684512928595,1.17987702906953,0.0592296732670559,1.13860510921335,0.997539422008643,1.29961940964325,0.0544225853766873,WDR45B
ENSG00000151465.12,1.16029879289559,1.06492866414425,1.2642098331317,0.000680046883425854,1.17076082739184,0.99394882415449,1.37902564160806,0.0591194306325257,CDC123
ENSG00000183549.9,0.972423546601132,0.956292273091281,0.988826931464772,0.00105119410321518,0.970715240083918,0.940984329995781,1.00138551439577,0.0611062102770601,ACSM5
ENSG00000026652.12,1.07434438118526,1.03307753182665,1.1172596575046,0.000332763644566032,1.05961496993139,0.99554948772301,1.12780318642994,0.0687915143710299,AGPAT4
ENSG00000186470.12,0.946566425281384,0.90636273243321,0.988553440480304,0.0131434503667582,0.947752297487924,0.89447759214651,1.00420002164404,0.0690682636816247,BTN3A2
ENSG00000188549.11,1.04123426883197,1.00807852627065,1.07548050507622,0.0143937716983407,1.061116161491,0.992782996051262,1.13415269263864,0.0806908108204089,C15orf52
ENSG00000105419.16,1.04102912559575,1.00838536521624,1.07472963980021,0.0133731485221365,1.04897481055098,0.994090089817111,1.10688977230717,0.0811964302577352,MEIS3
ENSG00000080345.16,1.08588642263484,1.00597999529004,1.17213993159249,0.0346137071494666,1.10816446235933,0.985865968877143,1.24563430973767,0.0851816530028764,RIF1
ENSG00000108556.7,0.956686149689488,0.924624540859965,0.989859503573692,0.0108966237785202,0.952604928483358,0.901083210237228,1.00707253166095,0.0869817543381795,CHRNE
ENSG00000106367.12,1.06685709237126,0.999496937362632,1.13875692160317,0.0517939487056551,1.07128296385226,0.989000555451768,1.16041106581163,0.0912751592025636,AP1S1
ENSG00000099974.7,0.922313167151715,0.879522661145634,0.967185515371926,0.000848334636101339,0.931657136493712,0.857835307722911,1.01183177256214,0.0928205563019028,DDTL
ENSG00000146530.10,1.01222163895362,0.999972991942244,1.02462031937071,0.0505104135168929,1.01300944800305,0.997649590086399,1.02860578698235,0.0972978554474122,VWDE
ENSG00000154328.14,0.950502444440734,0.893605209645509,1.01102241474869,0.106985522502612,0.950502444440734,0.893605209645509,1.01102241474869,0.106985522502612,NEIL2
